"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"Mapping quantitative trait loci for milk production and genetic polymorphisms of milk proteins in dairy sheep"	"Authors: Francis Barillet  Juan-José Arranz and Antonello Carta"	"Station d'amélioration des animaux  Institut national de la recherche agronomique  BP 27  31326  Castanet-Tolosan Cedex  FranceFrancis Barillet Departamento de Produccion Animal  Universidad de Leon  24071  Leon  SpainJuan-José Arranz Istituto Zootecnico e Caseario per la Sardegna  07040  Olmedo  ItalyAntonello Carta"	"No Co-Author"	"15 December 2005"	"In this paper  we present recent advances in the molecular dissection of complex traits in dairy sheep and discuss their possible impact on breeding schemes. In the first step  we review the literature data on genetic polymorphisms and the effects of sheep -casein and -lactoglobulin loci. It is concluded that the results are rather inconsistent and cannot be used in dairy sheep selection. In a second step  we describe the strategy implemented in France  Italy and Spain taking advantage of the genetic maps for QTL detection. These studies were part of a European project  called \"genesheepsafety\"  which investigated both milk production and functional traits. Preliminary QTL results are presented for production traits."	"dairy sheep  milk proteins  genetic polymorphisms  QTL  milk production"	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         Mapping quantitative trait loci for milk production and genetic polymorphisms of milk proteins in dairy sheep                         Francis Barillet1  Juan-José Arranz2 & Antonello Carta3                                   Genetics Selection Evolution                              volume 37  Article number: S109 (2005)             Cite this article                                                                                                      3234 Accesses                                                                                                     55 Citations                                                                                             Metrics details                                                                                                                                     In this paper  we present recent advances in the molecular dissection of complex traits in dairy sheep and discuss their possible impact on breeding schemes. In the first step  we review the literature data on genetic polymorphisms and the effects of sheep -casein and -lactoglobulin loci. It is concluded that the results are rather inconsistent and cannot be used in dairy sheep selection. In a second step  we describe the strategy implemented in France  Italy and Spain taking advantage of the genetic maps for QTL detection. These studies were part of a European project  called \"genesheepsafety\"  which investigated both milk production and functional traits. Preliminary QTL results are presented for production traits. Correspondence to                 .  Barillet  F.  Arranz  J. & Carta  A. Mapping quantitative trait loci for milk production and genetic polymorphisms of milk proteins in dairy sheep.                      S109 (2005). https://doi.org/10.1186/1297-9686-37-S1-S109  Accepted Published  dairy sheep  milk proteins  genetic polymorphisms  QTL  milk production"
"Major genes and QTL influencing wool production and quality: a review"	"Authors: Ian William Purvis and Ian Robert Franklin"	"CSIRO Livestock Industries  F.D. McMaster Laboratory  Chiswick Research Centre  Armidale  NSW  AustraliaIan William Purvis & Ian Robert Franklin"	"No Co-Author"	"15 December 2005"	"The opportunity exists to utilise our knowledge of major genes that influence the economically important traits in wool sheep. Genes with Mendelian inheritance have been identified for many important traits in wool sheep. Of particular importance are genes influencing pigmentation  wool quality and the keratin proteins  the latter of which are important for the morphology of the wool fibre. Gene mapping studies have identified some chromosomal regions associated with variation in wool quality and production traits. The challenge now is to build on this knowledge base in a cost-effective way to deliver molecular tools that facilitate enhanced genetic improvement programs for wool sheep."	"gene  major gene  QTL  wool production  wool quality"	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         Major genes and QTL influencing wool production and quality: a review                         Ian William Purvis1 & Ian Robert Franklin1                                   Genetics Selection Evolution                              volume 37  Article number: S97 (2005)             Cite this article                                                                                                      7277 Accesses                                                                                                     26 Citations                                                                                             Metrics details                                                                                                                                     The opportunity exists to utilise our knowledge of major genes that influence the economically important traits in wool sheep. Genes with Mendelian inheritance have been identified for many important traits in wool sheep. Of particular importance are genes influencing pigmentation  wool quality and the keratin proteins  the latter of which are important for the morphology of the wool fibre. Gene mapping studies have identified some chromosomal regions associated with variation in wool quality and production traits. The challenge now is to build on this knowledge base in a cost-effective way to deliver molecular tools that facilitate enhanced genetic improvement programs for wool sheep. Correspondence to                 .  Purvis  I.W.  Franklin  I.R. Major genes and QTL influencing wool production and quality: a review.                      S97 (2005). https://doi.org/10.1186/1297-9686-37-S1-S97  Accepted Published  gene  major gene  QTL  wool production  wool quality"
"Quantitative trait loci for internal nematode resistance in sheep: a review"	"Authors: Sonja Dominik"	"CSIRO Livestock Industries  Armidale  NSW  AustraliaSonja Dominik"	"No Co-Author"	"15 December 2005"	"Internal nematode resistance in sheep has a large impact on the economy of sheep industries. Selection for nematode resistance in sheep breeding schemes would help to reduce the direct and indirect cost of parasitism to these industries. However  this is not widely practiced because of the difficulty of measuring parasite resistance or correlated indirect selection criteria. The identification of genes or linked markers that have a significant association with the variance of indicator traits of internal nematode resistance in sheep would facilitate the inclusion of nematode resistance in sheep breeding operations. This review summarises findings reported in the literature of quantitative trait loci for internal nematode resistance in sheep. Issues relating to the analytical and phenotypic complexity of nematode resistance are discussed in the context of the findings of quantitative trait loci for nematode resistance published to date."	"sheep  internal nematode resistance  quantitative trait loci"	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         Quantitative trait loci for internal nematode resistance in sheep: a review                         Sonja Dominik1                                   Genetics Selection Evolution                              volume 37  Article number: S83 (2005)             Cite this article                                                                                                      2796 Accesses                                                                                                     44 Citations                                                                                                                                  0 Altmetric                                                                                                     Metrics details                                                                                                                                     Internal nematode resistance in sheep has a large impact on the economy of sheep industries. Selection for nematode resistance in sheep breeding schemes would help to reduce the direct and indirect cost of parasitism to these industries. However  this is not widely practiced because of the difficulty of measuring parasite resistance or correlated indirect selection criteria. The identification of genes or linked markers that have a significant association with the variance of indicator traits of internal nematode resistance in sheep would facilitate the inclusion of nematode resistance in sheep breeding operations. This review summarises findings reported in the literature of quantitative trait loci for internal nematode resistance in sheep. Issues relating to the analytical and phenotypic complexity of nematode resistance are discussed in the context of the findings of quantitative trait loci for nematode resistance published to date. Correspondence to                 .  Dominik  S. Quantitative trait loci for internal nematode resistance in sheep: a review.                      S83 (2005). https://doi.org/10.1186/1297-9686-37-S1-S83  Accepted Published  sheep  internal nematode resistance  quantitative trait loci"
"The callipyge mutation and other genes that affect muscle hypertrophy in sheep"	"Authors: Noelle E Cockett  Maria A Smit  Christopher A Bidwell  Karin Segers  Tracy L Hadfield  Gary D Snowder  Michel Georges and Carole Charlier"	"Department of Animal  Dairy and Veterinary Sciences  Utah State University  Logan  UT  84322  USANoelle E Cockett  Maria A Smit & Tracy L Hadfield Department of Animal Sciences  Purdue University  West Lafayette  IN  47907  USAChristopher A Bidwell Department of Genetics  Faculty of Veterinary Medicine  University of Liège  4000  Liège  BelgiumKarin Segers  Michel Georges & Carole Charlier USDA/ARS U.S. Meat Animal Research Center  Clay Center  NE  68933  USAGary D Snowder"	"No Co-Author"	"15 December 2005"	"Genetic strategies to improve the profitability of sheep operations have generally focused on traits for reproduction. However  natural mutations exist in sheep that affect muscle growth and development  and the exploitation of these mutations in breeding strategies has the potential to significantly improve lamb-meat quality. The best-documented mutation for muscle development in sheep is  ()  which causes a postnatal muscle hypertrophy that is localized to the pelvic limbs and loin. Enhanced skeletal muscle growth is also observed in animals with the  (or ) mutation  and a double-muscling phenotype has been documented for animals of the Texel sheep breed. However  the actual mutations responsible for these muscular hypertrophy phenotypes in sheep have yet to be identified  and further characterization of the genetic basis for these phenotypes will provide insight into the biological control of muscle growth and body composition."	"sheep  muscle  hypertrophy  callipyge  mutation"	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         The callipyge mutation and other genes that affect muscle hypertrophy in sheep                         Noelle E Cockett1  Maria A Smit1  Christopher A Bidwell2  Karin Segers3  Tracy L Hadfield1  Gary D Snowder4  Michel Georges3 & Carole Charlier3                                   Genetics Selection Evolution                              volume 37  Article number: S65 (2005)             Cite this article                                                                                                      6686 Accesses                                                                                                     23 Citations                                                                                                                                  0 Altmetric                                                                                                     Metrics details                                                                                                                                     Genetic strategies to improve the profitability of sheep operations have generally focused on traits for reproduction. However  natural mutations exist in sheep that affect muscle growth and development  and the exploitation of these mutations in breeding strategies has the potential to significantly improve lamb-meat quality. The best-documented mutation for muscle development in sheep is  ()  which causes a postnatal muscle hypertrophy that is localized to the pelvic limbs and loin. Enhanced skeletal muscle growth is also observed in animals with the  (or ) mutation  and a double-muscling phenotype has been documented for animals of the Texel sheep breed. However  the actual mutations responsible for these muscular hypertrophy phenotypes in sheep have yet to be identified  and further characterization of the genetic basis for these phenotypes will provide insight into the biological control of muscle growth and body composition. Correspondence to                 .  Cockett  N.E.  Smit  M.A.  Bidwell  C.A.  The  mutation and other genes that affect muscle hypertrophy in sheep.                      S65 (2005). https://doi.org/10.1186/1297-9686-37-S1-S65  Accepted Published  sheep  muscle  hypertrophy  callipyge  mutation"
"Positional cloning of the PIS mutation in goats and its impact on understanding mammalian sex-differentiation"	"Authors: Eric Pailhoux  Bernard Vigier  Laurent Schibler  Edmond P Cribiu  Corinne Cotinot and Daniel Vaiman"	"Laboratoire de biologie du développement et reproduction  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceEric Pailhoux  Bernard Vigier & Corinne Cotinot Laboratoire de génétique biochimique et cytogénétique  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceLaurent Schibler & Edmond P Cribiu Laboratoire de génétique et épigénétique des pathologies placentaires  INSERM-U361  Pavillon Baudelocque  123 Bd Port-Royal  75014  Paris  FranceDaniel Vaiman"	"No Co-Author"	"15 December 2005"	"In goats  the PIS (polled intersex syndrome) mutation is responsible for both the absence of horns in males and females and sex-reversal affecting exclusively XX individuals. The mode of inheritance is dominant for the polled trait and recessive for sex-reversal. In XX PIS mutants  the expression of testis-specific genes is observed very precociously during gonad development. Nevertheless  a delay of 4–5 days is observed in comparison with normal testis differentiation in XY males. By positional cloning  we demonstrate that the PIS mutation is an 11.7-kb regulatory-deletion affecting the expression of two genes   and  which could act synergistically to promote ovarian differentiation. The transcriptional extinction of these two genes leads  very early  to testis-formation in XX homozygous PIS mutants. According to their expression profiles and bibliographic data  we propose that  may be an ovary-differentiating gene  and the non-coding RNA   an anti-testis factor repressing   a key regulator of testis differentiation. Under this hypothesis    the testis-determining factor would inhibit these two genes in the gonads of XY males  to ensure testis differentiation."	"PIS mutation  goat  gonad differentiation  XX sex-reversal  ovary development"	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         Positional cloning of the PIS mutation in goats and its impact on understanding mammalian sex-differentiation                         Eric Pailhoux1  Bernard Vigier1  Laurent Schibler2  Edmond P Cribiu2  Corinne Cotinot1 & Daniel Vaiman3                                   Genetics Selection Evolution                              volume 37  Article number: S55 (2005)             Cite this article                                                                                                      2883 Accesses                                                                                                     20 Citations                                                                                                                                  2 Altmetric                                                                                                     Metrics details                                                                                                                                     In goats  the PIS (polled intersex syndrome) mutation is responsible for both the absence of horns in males and females and sex-reversal affecting exclusively XX individuals. The mode of inheritance is dominant for the polled trait and recessive for sex-reversal. In XX PIS mutants  the expression of testis-specific genes is observed very precociously during gonad development. Nevertheless  a delay of 4–5 days is observed in comparison with normal testis differentiation in XY males. By positional cloning  we demonstrate that the PIS mutation is an 11.7-kb regulatory-deletion affecting the expression of two genes   and  which could act synergistically to promote ovarian differentiation. The transcriptional extinction of these two genes leads  very early  to testis-formation in XX homozygous PIS mutants. According to their expression profiles and bibliographic data  we propose that  may be an ovary-differentiating gene  and the non-coding RNA   an anti-testis factor repressing   a key regulator of testis differentiation. Under this hypothesis    the testis-determining factor would inhibit these two genes in the gonads of XY males  to ensure testis differentiation. Correspondence to                 .  Pailhoux  E.  Vigier  B.  Schibler  L.  Positional cloning of the PIS mutation in goats and its impact on understanding mammalian sex-differentiation.                      S55 (2005). https://doi.org/10.1186/1297-9686-37-S1-S55  Accepted Published  PIS mutation  goat  gonad differentiation  XX sex-reversal  ovary development"
"Opportunities for detection and use of QTL influencing seasonal reproduction in sheep: a review"	"Authors: David R Notter and Noelle E Cockett"	"Department of Animal and Poultry Sciences  Virginia Polytechnic Institute and State University  Blacksburg  Virginia  USADavid R Notter Department of Animal  Dairy and Veterinary Sciences  Utah State University  Logan  Utah  USANoelle E Cockett"	"No Co-Author"	"15 December 2005"	"Genetic improvement in traits associated with seasonal breeding in sheep is challenging because these traits have low heritabilities  are generally not expressed until late in life  are commonly recorded only in females  and are expressed only in some lambing seasons and management systems. Detection of quantitative trait loci and their use in marker-assisted selection could therefore substantially enhance selection responses. A population of sheep with an extended breeding season was developed through selection for fertility in spring matings and provides opportunities for further study of candidate genes influencing seasonal breeding. In particular  the  gene is polymorphic in many sheep breeds and appears to influence a number of seasonal reproductive responses. In addition  a variety of clock genes have been identified in laboratory mammals and shown to influence biological rhythms. Mutations in these clock genes have been identified and shown to influence circadian periodicities and reproductive patterns in golden hamster and mouse. In sheep  expression of clock genes in the suprachaismatic nucleus and pars tuberalis (PT) suggests that \"calendar\" cells in the ovine PT play a role in maintaining circannual rhythms. Thus the various clock genes represent potentially important candidate genes that may be involved in control of seasonal breeding."	"sheep  seasonal breeding  selection                   melatonin receptor 1a                 clock genes"	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         Opportunities for detection and use of QTL influencing seasonal reproduction in sheep: a review                         David R Notter1 & Noelle E Cockett2                                   Genetics Selection Evolution                              volume 37  Article number: S39 (2005)             Cite this article                                                                                                      2925 Accesses                                                                                                     33 Citations                                                                                             Metrics details                                                                                                                                     Genetic improvement in traits associated with seasonal breeding in sheep is challenging because these traits have low heritabilities  are generally not expressed until late in life  are commonly recorded only in females  and are expressed only in some lambing seasons and management systems. Detection of quantitative trait loci and their use in marker-assisted selection could therefore substantially enhance selection responses. A population of sheep with an extended breeding season was developed through selection for fertility in spring matings and provides opportunities for further study of candidate genes influencing seasonal breeding. In particular  the  gene is polymorphic in many sheep breeds and appears to influence a number of seasonal reproductive responses. In addition  a variety of clock genes have been identified in laboratory mammals and shown to influence biological rhythms. Mutations in these clock genes have been identified and shown to influence circadian periodicities and reproductive patterns in golden hamster and mouse. In sheep  expression of clock genes in the suprachaismatic nucleus and pars tuberalis (PT) suggests that \"calendar\" cells in the ovine PT play a role in maintaining circannual rhythms. Thus the various clock genes represent potentially important candidate genes that may be involved in control of seasonal breeding. Correspondence to                 .  Notter  D.R.  Cockett  N.E. Opportunities for detection and use of QTL influencing seasonal reproduction in sheep: a review.                      S39 (2005). https://doi.org/10.1186/1297-9686-37-S1-S39  Accepted Published  sheep  seasonal breeding  selection                   melatonin receptor 1a                 clock genes"
"Physiological effects of major genes affecting ovulation rate in sheep"	"Authors: Kenneth P McNatty  Susan M Galloway  Theresa Wilson  Peter Smith  Norma L Hudson  Anne O'Connell  Adrian H Bibby  Derek A Heath  George H Davis  James P Hanrahan and Jenny L Juengel"	"AgResearch  Wallaceville Animal Research Centre  PO Box 40063  Upper Hutt  New ZealandKenneth P McNatty  Peter Smith  Norma L Hudson  Anne O'Connell  Adrian H Bibby  Derek A Heath & Jenny L Juengel AgResearch  Molecular Biology Unit  Otago University  PO Box 56  Dunedin  New ZealandSusan M Galloway & Theresa Wilson AgResearch  Invermay Agricultural Centre  Private Bag  50034  Mosgiel  New ZealandGeorge H Davis Teagasc  Athenry Research Centre  Athenry  IrelandJames P Hanrahan"	"No Co-Author"	"15 December 2005"	"Genetic mutations with major effects on ovulation rate in sheep were recently identified in two genes of the transforming growth factor () superfamily and a  receptor  namely bone morphogenetic protein 15 ()  otherwise known as the growth differentiation factor 9b ()   and activin-like kinase 6 () otherwise known as the BMP receptor type IB (). Animals homozygous for the  or  mutations are anovulatory whereas animals heterozygous for  or  or heterozygous or homozygous for  have higher than normal ovulation rates. Immunisation of ewes against  or  shows that both are essential for normal follicular development and control of ovulation rate. Common features of fertile animals with the    (and possibly ) mutations are changes in oocyte development during early preantral follicular growth  earlier maturation of granulosa cells and ovulation of mature follicles at smaller diameters. In summary  these findings have led to a new paradigm in reproductive biology  namely that the oocyte plays a key role in regulating the ovulation rate."	"genetic mutations                   BMP15                                  GDF9                                  ALK6                                  BMPR-1B               "	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         Physiological effects of major genes affecting ovulation rate in sheep                         Kenneth P McNatty1  Susan M Galloway2  Theresa Wilson2  Peter Smith1  Norma L Hudson1  Anne O'Connell1  Adrian H Bibby1  Derek A Heath1  George H Davis3  James P Hanrahan4 & Jenny L Juengel1                                   Genetics Selection Evolution                              volume 37  Article number: S25 (2005)             Cite this article                                                                                                      4215 Accesses                                                                                                     45 Citations                                                                                             Metrics details                                                                                                                                     Genetic mutations with major effects on ovulation rate in sheep were recently identified in two genes of the transforming growth factor () superfamily and a  receptor  namely bone morphogenetic protein 15 ()  otherwise known as the growth differentiation factor 9b ()   and activin-like kinase 6 () otherwise known as the BMP receptor type IB (). Animals homozygous for the  or  mutations are anovulatory whereas animals heterozygous for  or  or heterozygous or homozygous for  have higher than normal ovulation rates. Immunisation of ewes against  or  shows that both are essential for normal follicular development and control of ovulation rate. Common features of fertile animals with the    (and possibly ) mutations are changes in oocyte development during early preantral follicular growth  earlier maturation of granulosa cells and ovulation of mature follicles at smaller diameters. In summary  these findings have led to a new paradigm in reproductive biology  namely that the oocyte plays a key role in regulating the ovulation rate. Correspondence to                 .  McNatty  K.P.  Galloway  S.M.  Wilson  T.  Physiological effects of major genes affecting ovulation rate in sheep.                      S25 (2005). https://doi.org/10.1186/1297-9686-37-S1-S25  Accepted Published  genetic mutations                   BMP15                                  GDF9                                  ALK6                                  BMPR-1B               "
"Major genes affecting ovulation rate in sheep"	"Authors: George Henry Davis"	"AgResearch  Invermay Agricultural Centre  Private Bag  Mosgiel  New ZealandGeorge Henry Davis"	"No Co-Author"	"15 December 2005"	"Research conducted since 1980 in relation to inheritance patterns and DNA testing of major genes for prolificacy has shown that major genes have the potential to significantly increase the reproductive performance of sheep flocks throughout the world. Mutations that increase ovulation rate have been discovered in the    and  genes  and others are known to exist from the expressed inheritance patterns although the mutations have not yet been located. In the case of   four different mutations have been discovered but each produces the same phenotype. The modes of inheritance of the different prolificacy genes include autosomal dominant genes with additive effects on ovulation rate (; )  autosomal over-dominant genes with infertility in homozygous females ()  X-linked over-dominant genes with infertility in homozygous females ()  and X-linked maternally imprinted genes (). The size of the effect of one copy of a mutation on ovulation rate ranges from an extra 0.4 ovulations per oestrus for the  mutation to an extra 1.5 ovulations per oestrus for the  mutation. A commercial DNA testing service enables some of these mutations to be used in genetic improvement programmes based on marker assisted selection."	"major gene  ovulation rate  sheep  reproduction"	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         Major genes affecting ovulation rate in sheep                         George Henry Davis1                                   Genetics Selection Evolution                              volume 37  Article number: S11 (2005)             Cite this article                                                                                                      8279 Accesses                                                                                                     92 Citations                                                                                             Metrics details                                                                                                                                     Research conducted since 1980 in relation to inheritance patterns and DNA testing of major genes for prolificacy has shown that major genes have the potential to significantly increase the reproductive performance of sheep flocks throughout the world. Mutations that increase ovulation rate have been discovered in the    and  genes  and others are known to exist from the expressed inheritance patterns although the mutations have not yet been located. In the case of   four different mutations have been discovered but each produces the same phenotype. The modes of inheritance of the different prolificacy genes include autosomal dominant genes with additive effects on ovulation rate (; )  autosomal over-dominant genes with infertility in homozygous females ()  X-linked over-dominant genes with infertility in homozygous females ()  and X-linked maternally imprinted genes (). The size of the effect of one copy of a mutation on ovulation rate ranges from an extra 0.4 ovulations per oestrus for the  mutation to an extra 1.5 ovulations per oestrus for the  mutation. A commercial DNA testing service enables some of these mutations to be used in genetic improvement programmes based on marker assisted selection. Correspondence to                 .  Davis  G.H. Major genes affecting ovulation rate in sheep.                      S11 (2005). https://doi.org/10.1186/1297-9686-37-S1-S11  Accepted Published  major gene  ovulation rate  sheep  reproduction"
"Editorial"	"Authors: Loys Bodin"	""	"No Co-Author"	"15 December 2005"	"The Institut National de la Recherche Agronomique (INRA) was honoured to welcome scientists from all over the world who attended the International Workshop on major Genes and QTL in Sheep and Goats. Approximately 100 participants from 16 countries were registered  contributing 52 oral or poster presentations.A first session was dedicated to the tools available for identifying and localising major genes or QTL in these two species. Molecular techniques  marker panels  radiation hybrids  genome physical maps  and BAC libraries were presented along with genetic  comparative and cytogenetic maps. A second and largest session concerned different traits for which major genes or QTL have been found    ovulation and other reproduction traits  milk and meat characters  and resistance to disease and wool production. For each group  a guest's paper focused on one sub-trait gave the state of the art: the history  identification and localisation of sources of monogenic and oligogenic variability  genetic determinism (dominance  imprinting  ...)  effects on the phenotype  physiological mechanisms implied  use in populations  etc. The third session was devoted to the strategies for the use of major genes and QTL in populations  while the last session covered future prospects.A CD (available on request to bodin@toulouse.inra.fr) of the full proceedings was available  and participants invited to give a main paper also had the opportunity to submit it for publication in this special issue of GSE. Nine articles were jointly selected by the Editorial Board of the journal and by the Guest Editor."	""	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Editorial                                            Open Access                                                              Published: 15 December 2005                         Editorial                         Loys Bodin                                   Genetics Selection Evolution                              volume 37  Article number: I2 (2005)             Cite this article                                                                                                      1042 Accesses                                                                                                              Metrics details                                                                                                                                     The Institut National de la Recherche Agronomique (INRA) was honoured to welcome scientists from all over the world who attended the International Workshop on major Genes and QTL in Sheep and Goats. Approximately 100 participants from 16 countries were registered  contributing 52 oral or poster presentations. A first session was dedicated to the tools available for identifying and localising major genes or QTL in these two species. Molecular techniques  marker panels  radiation hybrids  genome physical maps  and BAC libraries were presented along with genetic  comparative and cytogenetic maps. A second and largest session concerned different traits for which major genes or QTL have been found    ovulation and other reproduction traits  milk and meat characters  and resistance to disease and wool production. For each group  a guest's paper focused on one sub-trait gave the state of the art: the history  identification and localisation of sources of monogenic and oligogenic variability  genetic determinism (dominance  imprinting  ...)  effects on the phenotype  physiological mechanisms implied  use in populations  etc. The third session was devoted to the strategies for the use of major genes and QTL in populations  while the last session covered future prospects. A CD (available on request to bodin@toulouse.inra.fr) of the full proceedings was available  and participants invited to give a main paper also had the opportunity to submit it for publication in this special issue of GSE. Nine articles were jointly selected by the Editorial Board of the journal and by the Guest Editor.  Bodin  L. Editorial.                      I2 (2005). https://doi.org/10.1186/1297-9686-37-S1-I2  Published  "
"Foreword to the international workshop on major genes and QTL in sheep and goats"	"Authors: Jean Michel Elsen"	""	"No Co-Author"	"15 December 2005"	"This is the third international meeting dealing with major genes in small ruminants. The first was held in Armidale (NSW  Australia) in 1980  just after the discovery of the Booroola gene by B. Bindon and L. Piper. The discovery of a gene having such a large effect on ovulation rate and prolificacy in sheep was totally unsuspected at this time and a number of research teams all over the world concentrated their efforts to study its effects and identify the causal mutation. About 20 years were finally needed to obtain this information  which opened a new approach to the physiological regulation of reproduction.The second meeting was organised in 1990 in Toulouse along the same lines. Although its main concern was the Booroola gene  other major genes influencing ovulation in sheep were also considered. Indeed  an increasing amount of evidence demonstrated that  on the contrary to the current opinion in quantitative genetics laboratories before 1980  prolificacy is not always controlled by a very large number of genes each exhibiting a very small effect  but may also be influenced by genes with large effects  generalising the Booroola situation to other populations.Since then  mixed inheritance was also found for other production traits such as body conformation  seasonality or milk composition. However  the major evolution has been the inexpensive large-scale access to molecular genetic information  using PCR  microsatellites and SNP technologies. QTL detection experiments are performed in all domestic species  including sheep and goats  and the identification of genes having an average effect on the performance trait variability is now possible. The utilisation of these polymorphisms should also be a great help for a better management of populations  either through the selection of breeders or through the preservation of genetic diversity.This third meeting on major genes and QTL in sheep and goats was a unique occasion for the researchers involved in this area of Animal Science to present their latest results  exchange their experiences and progress in the organisation of scientific co-operation."	"Major Gene  Small Ruminant  Causal Mutation  Production Trait  Ovulation Rate"	"                                                                          Volume 37 Supplement 1                                       Third International Workshop on Major Genes and QTL in Sheep and Goats; 8–11 December 2003  Toulouse  France                                                           Proceedings                                            Open Access                                                              Published: 15 December 2005                         Foreword to the international workshop on major genes and QTL in sheep and goats                         Jean Michel Elsen                                   Genetics Selection Evolution                              volume 37  Article number: I1 (2005)             Cite this article                                                                                                      1192 Accesses                                                                                                              Metrics details                                                                                                                                     This is the third international meeting dealing with major genes in small ruminants. The first was held in Armidale (NSW  Australia) in 1980  just after the discovery of the Booroola gene by B. Bindon and L. Piper. The discovery of a gene having such a large effect on ovulation rate and prolificacy in sheep was totally unsuspected at this time and a number of research teams all over the world concentrated their efforts to study its effects and identify the causal mutation. About 20 years were finally needed to obtain this information  which opened a new approach to the physiological regulation of reproduction. The second meeting was organised in 1990 in Toulouse along the same lines. Although its main concern was the Booroola gene  other major genes influencing ovulation in sheep were also considered. Indeed  an increasing amount of evidence demonstrated that  on the contrary to the current opinion in quantitative genetics laboratories before 1980  prolificacy is not always controlled by a very large number of genes each exhibiting a very small effect  but may also be influenced by genes with large effects  generalising the Booroola situation to other populations. Since then  mixed inheritance was also found for other production traits such as body conformation  seasonality or milk composition. However  the major evolution has been the inexpensive large-scale access to molecular genetic information  using PCR  microsatellites and SNP technologies. QTL detection experiments are performed in all domestic species  including sheep and goats  and the identification of genes having an average effect on the performance trait variability is now possible. The utilisation of these polymorphisms should also be a great help for a better management of populations  either through the selection of breeders or through the preservation of genetic diversity. This third meeting on major genes and QTL in sheep and goats was a unique occasion for the researchers involved in this area of Animal Science to present their latest results  exchange their experiences and progress in the organisation of scientific co-operation.  Elsen  J.M. Foreword to the international workshop on major genes and QTL in sheep and goats.                      I1 (2005). https://doi.org/10.1186/1297-9686-37-S1-I1  Published  Major Gene  Small Ruminant  Causal Mutation  Production Trait  Ovulation Rate"
