"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"A completion simulator for the two-sided truncated normal distribution"	"Authors: Jean-Louis Foulley"	"Station de génétique quantitative et appliquée  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceJean-Louis Foulley"	"No Co-Author"	"15 November 2000"	"This paper presents simulation formulae of two-sided truncated normal random variables using a completion distribution and its two corresponding conditionals generated  a Gibbs sampler. This procedure extends formulae given by Robert and Casella for the one-sided case."	"simulation  normal distribution  truncation  completion  Gibbs"	"                                                   Research                                            Open Access                                                              Published: 15 November 2000                         A completion simulator for the two-sided truncated normal distribution                         Jean-Louis Foulley1                                   Genetics Selection Evolution                              volume 32  Article number: 631 (2000)             Cite this article                                                                                                      1804 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                     This paper presents simulation formulae of two-sided truncated normal random variables using a completion distribution and its two corresponding conditionals generated  a Gibbs sampler. This procedure extends formulae given by Robert and Casella for the one-sided case. Correspondence to                 .  Foulley  J. A completion simulator for the two-sided truncated normal distribution.                      631 (2000). https://doi.org/10.1186/1297-9686-32-6-631  Received Accepted Published  simulation  normal distribution  truncation  completion  Gibbs"
"Distal element(s) is(are) required for position-independent expression of the goat a-lactalbumin gene in transgenic mice. Potential relationship with the location of the cyclin T1 locus"	"Authors: Solange Soulier  Marie-Georges Stinnakre  José Costa Da Silva  Laurence Lepourry  Xavier Mata  Nathalie Besnard and Jean-Luc Vilotte"	"Unité de génétique biochimique et de cytogénétique  Département de génétique animale  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceSolange Soulier  Marie-Georges Stinnakre  José Costa Da Silva  Laurence Lepourry  Xavier Mata  Nathalie Besnard & Jean-Luc Vilotte"	"No Co-Author"	"15 November 2000"	"We recently reported the site-independent and copy-number-related expression in mice of a goat -lactalbumin gene with 150 kb and 10 kb of 5'- and 3'-flanking sequences  respectively. In the present study  we observed that the resection of the 5'-flanking region  leaving only 70 kb  resulted in a site-dependent expression of this milk protein-encoding transgene. This suggests that important cis-regulatory elements are located within the distal-deleted sequence. Within this region  we localised the promoter of the cyclin T1 gene  an ubiquitously expressed gene. So far  no other gene has been located between these two loci. Since these two genes are differentially expressed  our data suggest the potential location of an insulator within the deleted region that allows the two genes to be independently regulated."	"insulator  a-lactalbumin  cyclin T1  transgenesis  mice"	"                                                   Research                                            Open Access                                                              Published: 15 November 2000                         Distal element(s) is(are) required for position-independent expression of the goat a-lactalbumin gene in transgenic mice. Potential relationship with the location of the cyclin T1 locus                         Solange Soulier1  Marie-Georges Stinnakre1  José Costa Da Silva1  Laurence Lepourry1  Xavier Mata1  Nathalie Besnard1 & Jean-Luc Vilotte1                                   Genetics Selection Evolution                              volume 32  Article number: 621 (2000)             Cite this article                                                                                                      1697 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                     We recently reported the site-independent and copy-number-related expression in mice of a goat -lactalbumin gene with 150 kb and 10 kb of 5'- and 3'-flanking sequences  respectively. In the present study  we observed that the resection of the 5'-flanking region  leaving only 70 kb  resulted in a site-dependent expression of this milk protein-encoding transgene. This suggests that important cis-regulatory elements are located within the distal-deleted sequence. Within this region  we localised the promoter of the cyclin T1 gene  an ubiquitously expressed gene. So far  no other gene has been located between these two loci. Since these two genes are differentially expressed  our data suggest the potential location of an insulator within the deleted region that allows the two genes to be independently regulated. Correspondence to                 .  Soulier  S.  Stinnakre  M.  Da Silva  J.C.  Distal element(s) is(are) required for position-independent expression of the goat -lactalbumin gene in transgenic mice. Potential relationship with the location of the cyclin T1 locus.                      621 (2000). https://doi.org/10.1186/1297-9686-32-6-621  Received Accepted Published  insulator  a-lactalbumin  cyclin T1  transgenesis  mice"
"Isolation of subtelomeric DNA sequences labelling sheep and goat chromosome ends"	"Authors: Daniel Vaiman  Ana Brunialti  Mohamed Bensaada  Céline Derbois  Anne Vaiman  Allan Crawford  Philippe Metezeau and Edmond P Cribiu"	"Laboratoire de génétique biochimique et de cytogénétique  Département de génétique animale  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceDaniel Vaiman  Ana Brunialti  Céline Derbois  Anne Vaiman & Edmond P Cribiu Laboratoire de cytométrie analytique  Institut Pasteur  25 rue du Dr Roux  75014  Paris  FranceMohamed Bensaada & Philippe Metezeau AgResearch Molecular Biology Unit  University of Otago  P.O. Box 56  Dunedin  New ZealandAllan Crawford"	"No Co-Author"	"15 November 2000"	"Two techniques that make it possible to isolate telomere DNA are presented  using sheep as an example. The first technique is based upon the screening of a sheep BAC library with PCR amplified DNA segments preserved from high-power laser beam irradiation. Twenty-three BACs hybridising to 13 subtelomeric regions in sheep and goats were obtained (out of 27 in the sheep complement)  of which 13 recognised more than one region  telomeric or not. Twenty-three microsatellites were isolated from these BACs and 22 were genetically mapped on the sheep international genetic map  always consistently with the cytogenetical localisation in 17 cases out of 22. These results are discussed. The second technique is based upon the selective cloning of subtelomeric enriched DNA. Preliminary results were obtained by this approach."	"telomeres  FISH  sheep  goats"	"                                                   Research                                            Open Access                                                              Published: 15 November 2000                         Isolation of subtelomeric DNA sequences labelling sheep and goat chromosome ends                         Daniel Vaiman1  Ana Brunialti1  Mohamed Bensaada2  Céline Derbois1  Anne Vaiman1  Allan Crawford3  Philippe Metezeau2 & Edmond P Cribiu1                                   Genetics Selection Evolution                              volume 32  Article number: 599 (2000)             Cite this article                                                                                                      1850 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                     Two techniques that make it possible to isolate telomere DNA are presented  using sheep as an example. The first technique is based upon the screening of a sheep BAC library with PCR amplified DNA segments preserved from high-power laser beam irradiation. Twenty-three BACs hybridising to 13 subtelomeric regions in sheep and goats were obtained (out of 27 in the sheep complement)  of which 13 recognised more than one region  telomeric or not. Twenty-three microsatellites were isolated from these BACs and 22 were genetically mapped on the sheep international genetic map  always consistently with the cytogenetical localisation in 17 cases out of 22. These results are discussed. The second technique is based upon the selective cloning of subtelomeric enriched DNA. Preliminary results were obtained by this approach. Correspondence to                 .  Vaiman  D.  Brunialti  A.  Bensaada  M.  Isolation of subtelomeric DNA sequences labelling sheep and goat chromosome ends.                      599 (2000). https://doi.org/10.1186/1297-9686-32-6-599  Received Accepted Published  telomeres  FISH  sheep  goats"
"A new reciprocal translocation in a subfertile bull"	"Authors: Alain Ducos  Pascal Dumont  Anne Séguéla  Alain Pinton  Hélène Berland  Corinne Brun-Baronnat  Aafke Darré  Brigitte Marquant-Le Guienne  Patrice Humblot  Didier Boichard and Roland Darré"	"Unité mixte de recherches ENVT-INRA de cytogénétique des populations animales  23  chemin des Capelles  31076  Toulouse Cedex 3  FranceAlain Ducos  Anne Séguéla  Alain Pinton  Hélène Berland  Corinne Brun-Baronnat & Roland Darré Union nationale des coopératives d'élevage et d'insémination artificielle (U.N.C.E.I.A.)  BP 65  94703  Maisons Alfort Cedex  FrancePascal Dumont  Brigitte Marquant-Le Guienne & Patrice Humblot ENFA  BP 87  31326  Castanet-Tolosan Cedex 3  FranceAafke Darré SGQA  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceDidier Boichard"	"No Co-Author"	"15 November 2000"	"Three bulls of the Montbéliarde breed that exhibited fertility rates lower than 30% following more than 400 artificial inseminations were examined. Semen quality (sperm motility and morphology) from these bulls was normal. Fertilizing ability estimated from  embryo production results was studied for two of them.  production rate was very low for one bull (A) and normal for the other (B). Cytogenetic analyses were carried out on the three bulls using chromosome banding techniques. These analyses revealed a reciprocal translocation (12;17)(q22;q14) in bull B. Based on family analyses  the hypothesis of a  origin of this rearrangement is proposed."	"cattle  chromosome abnormality  fertility  semen quality  cytogenetics"	"                                                   Research                                            Open Access                                                              Published: 15 November 2000                         A new reciprocal translocation in a subfertile bull                         Alain Ducos1  Pascal Dumont2  Anne Séguéla1  Alain Pinton1  Hélène Berland1  Corinne Brun-Baronnat1  Aafke Darré3  Brigitte Marquant-Le Guienne2  Patrice Humblot2  Didier Boichard4 & Roland Darré1                                   Genetics Selection Evolution                              volume 32  Article number: 589 (2000)             Cite this article                                                                                                      2019 Accesses                                                                                                     14 Citations                                                                                             Metrics details                                                                                                                                     Three bulls of the Montbéliarde breed that exhibited fertility rates lower than 30% following more than 400 artificial inseminations were examined. Semen quality (sperm motility and morphology) from these bulls was normal. Fertilizing ability estimated from  embryo production results was studied for two of them.  production rate was very low for one bull (A) and normal for the other (B). Cytogenetic analyses were carried out on the three bulls using chromosome banding techniques. These analyses revealed a reciprocal translocation (12;17)(q22;q14) in bull B. Based on family analyses  the hypothesis of a  origin of this rearrangement is proposed. Correspondence to                 .  Ducos  A.  Dumont  P.  Séguéla  A.  A new reciprocal translocation in a subfertile bull.                      589 (2000). https://doi.org/10.1186/1297-9686-32-6-589  Received Accepted Published  cattle  chromosome abnormality  fertility  semen quality  cytogenetics"
"Structure génétique des cécidomyies des céréales en Tunisie"	"Authors: Hanem Makni  Moez Sellami  Mohamed Marrakchi and Nicole Pasteur"	"Laboratoire de génétique moléculaire  Immunologie et biotechnologie  Faculté des sciences  Campus universitaire  Tunis  TunisieHanem Makni  Moez Sellami & Mohamed Marrakchi Institut des sciences de l'évolution (UMR-CNRS 5554)  Génétique et environnement  Université de Montpellier-II (CC065)  34095  Montpellier 05  FranceNicole Pasteur"	"No Co-Author"	"15 November 2000"	". The genetic structure of  and  was investigated by sampling 21 fields of cereals in 14 localities of central and southern Tunisia. As previously shown  there was no strict association between the cereal species (wheat  barley and oat) and the  species.  males displayed no heterozygosity at the  locus  indicating that they were hemizygous as is the  locus in North America. In   heterozygous males were observed at all loci  but strong heterozygote deficits were found at two loci ( et ). Since no such deficit was observed in females  the population structure of  was studied only in females. Although heterozygosity was two fold higher in  than in   the two species were similar for other genetic characteristics  including a low (Fst < 0.05) but significant ( < 0.05) genetic differentiation  no isolation by distance  and similar rates of gene flow (5.7 = Nm = 9.6). These results are discussed in relation to their consequences in the event of controlling Tunisian Hessian flies using wheat cultivars that are resistant to a  biotype."	"genetic structure  gene flow  sex determination  allozymes  Mayetiola destructor and hordei"	"                                                   Research                                            Open Access                                                              Published: 15 November 2000                         Structure génétique des cécidomyies des céréales en Tunisie                         Hanem Makni1  Moez Sellami1  Mohamed Marrakchi1 & Nicole Pasteur2                                   Genetics Selection Evolution                              volume 32  Article number: 577 (2000)             Cite this article                                                                                                      3439 Accesses                                                                                                     3 Citations                                                                                             Metrics details                                                                                                                                     . The genetic structure of  and  was investigated by sampling 21 fields of cereals in 14 localities of central and southern Tunisia. As previously shown  there was no strict association between the cereal species (wheat  barley and oat) and the  species.  males displayed no heterozygosity at the  locus  indicating that they were hemizygous as is the  locus in North America. In   heterozygous males were observed at all loci  but strong heterozygote deficits were found at two loci ( et ). Since no such deficit was observed in females  the population structure of  was studied only in females. Although heterozygosity was two fold higher in  than in   the two species were similar for other genetic characteristics  including a low (Fst < 0.05) but significant ( < 0.05) genetic differentiation  no isolation by distance  and similar rates of gene flow (5.7 = Nm = 9.6). These results are discussed in relation to their consequences in the event of controlling Tunisian Hessian flies using wheat cultivars that are resistant to a  biotype. Correspondence to                 . Mohamed Marrakchi and Nicole Pasteur contributed equally to this work.  Makni  H.  Sellami  M.  Marrakchi  M.  Structure génétique des cécidomyies des céréales en Tunisie.                      577 (2000). https://doi.org/10.1186/1297-9686-32-6-577  Received Accepted Published  genetic structure  gene flow  sex determination  allozymes  Mayetiola destructor and hordei"
"Frequencies of genes for coat colour and horns in Nordic cattle breeds"	"Authors: Juha Kantanen  Ingrid Olsaker  Klaus Brusgaard  Emma Eythorsdottir  Lars-Erik Holm  Sigbjørn Lien  Birgitta Danell and Stefan Adalsteinsson"	"Animal Production Research  Agricultural Research Centre of Finland (MTT)  31600  Jokioinen  FinlandJuha Kantanen Department of Morphology  Genetics and Aquatic Biology  The Norwegian College of Veterinary Science  P.O. Box 8146 Dep.  0033  Oslo  NorwayIngrid Olsaker Department of Animal Breeding and Genetics  Danish Institute of Agricultural Sciences  P.O. Box 50  8830  Tjele  DenmarkKlaus Brusgaard & Lars-Erik Holm Agricultural Research Institute  Keldnaholt  112  Reykjavik  IcelandEmma Eythorsdottir Department of Animal Science  Agricultural University of Norway  P.O. Box 5025  1432  Ås  NorwaySigbjørn Lien Department of Animal Breeding and Genetics  Swedish University of Agricultural Sciences  Box 7023  75007  Uppsala  SwedenBirgitta Danell The Nordic Gene Bank for Farm Animals  Department of Animal Science  Agricultural University of Norway  P.O. Box 5025  1432  Ås  NorwayStefan Adalsteinsson Sudurgata 24  101  Reykjavik  IcelandJuha Kantanen  Ingrid Olsaker  Klaus Brusgaard  Emma Eythorsdottir  Lars-Erik Holm  Sigbjørn Lien  Birgitta Danell & Stefan Adalsteinsson"	"No Co-Author"	"15 November 2000"	"Gene frequencies of coat colour and horn types were assessed in 22 Nordic cattle breeds in a project aimed at establishing genetic profiles of the breeds under study. The coat colour loci yielding information on genetic variation were:  and . The  locus was assessed for two alleles. A profound variation between breeds was observed in the frequencies of both colour and horn alleles  with the older breeds generally showing greater variation in observed colour  horn types and segregating alleles than the modern breeds. The correspondence between the present genetic distance matrix and previous molecular marker distance matrices was low ( = 0.08 – 0.12). The branching pattern of a neighbour-joining tree disagreed to some extent with the molecular data structure. The current data indicates that 70% of the total genetic variation could be explained by differences between the breeds  suggesting a much greater breed differentiation than typically found at protein and microsatellite loci. The marked differentiation of the cattle breeds and observed disagreements with the results from the previous molecular data in the topology of the phylogenetic trees are most likely a result of selection on phenotypic characters analysed in this study."	"cattle  coat colour  horns"	"                                                   Research                                            Open Access                                                              Published: 15 November 2000                         Frequencies of genes for coat colour and horns in Nordic cattle breeds                         Juha Kantanen1 8  Ingrid Olsaker2 8  Klaus Brusgaard3 8  Emma Eythorsdottir4 8  Lars-Erik Holm3 8  Sigbjørn Lien5 8  Birgitta Danell6 8 & Stefan Adalsteinsson7 8                                   Genetics Selection Evolution                              volume 32  Article number: 561 (2000)             Cite this article                                                                                                      3575 Accesses                                                                                                     14 Citations                                                                                             Metrics details                                                                                                                                     Gene frequencies of coat colour and horn types were assessed in 22 Nordic cattle breeds in a project aimed at establishing genetic profiles of the breeds under study. The coat colour loci yielding information on genetic variation were:  and . The  locus was assessed for two alleles. A profound variation between breeds was observed in the frequencies of both colour and horn alleles  with the older breeds generally showing greater variation in observed colour  horn types and segregating alleles than the modern breeds. The correspondence between the present genetic distance matrix and previous molecular marker distance matrices was low ( = 0.08 – 0.12). The branching pattern of a neighbour-joining tree disagreed to some extent with the molecular data structure. The current data indicates that 70% of the total genetic variation could be explained by differences between the breeds  suggesting a much greater breed differentiation than typically found at protein and microsatellite loci. The marked differentiation of the cattle breeds and observed disagreements with the results from the previous molecular data in the topology of the phylogenetic trees are most likely a result of selection on phenotypic characters analysed in this study. Correspondence to                 .  Kantanen  J.  Olsaker  I.  Brusgaard  K.  Frequencies of genes for coat colour and horns in Nordic cattle breeds.                      561 (2000). https://doi.org/10.1186/1297-9686-32-6-561  Received Accepted Published  cattle  coat colour  horns"
"Selective genotyping for QTL detection using sib pair analysis in outbred populations with hierarchical structures"	"Authors: Dimitrios G. Chatziplis and Chris S. Haley"	"Roslin Institute (Edinburgh)  Roslin  Midlothian  EH25 9PS  UKDimitrios G. Chatziplis & Chris S. Haley Ross Breeders Ltd  Newbridge Midlothian  EH28 8SZ  UKDimitrios G. Chatziplis"	"No Co-Author"	"15 November 2000"	"A simulation study illustrates the effects of the inclusion of half-sib pairs as well as the effects of selective genotyping on the power of detection and the parameter estimates in a sib pair analysis of data from an outbred population. The power of QTL detection obtained from samples of sib pairs selected according to their within family variance or according to the mean within family variance within half sib family was compared and contrasted with the power obtained when only full sib pair analysis was used. There was an increase in power (4–16%) and decrease in the bias of parameter estimates with the use of half-sib information. These improvements in power and parameter estimates depended on the number of the half sib pairs (half sib family size). Almost the same power as that obtained using all the available sib pairs could be achieved by selecting only 50–60% the animals. The most effective method was to select both full and half sib pairs on the basis of high within full sib family variance for the trait in question. The QTL position estimates were in general slightly biased towards the center of the chromosome and the QTL variance estimates were biased upwards  there being quite large differences in bias depending on the selection method."	"selective genotyping  QTL detection  sib pair analysis  outbred populations"	"                                                   Research                                            Open Access                                                              Published: 15 November 2000                         Selective genotyping for QTL detection using sib pair analysis in outbred populations with hierarchical structures                         Dimitrios G. Chatziplis1 2 & Chris S. Haley1                                   Genetics Selection Evolution                              volume 32  Article number: 547 (2000)             Cite this article                                                                                                      1426 Accesses                                                                                                     4 Citations                                                                                             Metrics details                                                                                                                                     A simulation study illustrates the effects of the inclusion of half-sib pairs as well as the effects of selective genotyping on the power of detection and the parameter estimates in a sib pair analysis of data from an outbred population. The power of QTL detection obtained from samples of sib pairs selected according to their within family variance or according to the mean within family variance within half sib family was compared and contrasted with the power obtained when only full sib pair analysis was used. There was an increase in power (4–16%) and decrease in the bias of parameter estimates with the use of half-sib information. These improvements in power and parameter estimates depended on the number of the half sib pairs (half sib family size). Almost the same power as that obtained using all the available sib pairs could be achieved by selecting only 50–60% the animals. The most effective method was to select both full and half sib pairs on the basis of high within full sib family variance for the trait in question. The QTL position estimates were in general slightly biased towards the center of the chromosome and the QTL variance estimates were biased upwards  there being quite large differences in bias depending on the selection method. Correspondence to                 .  Chatziplis  D.G.  Haley  C.S. Selective genotyping for QTL detection using sib pair analysis in outbred populations with hierarchical structures.                      547 (2000). https://doi.org/10.1186/1297-9686-32-6-547  Received Accepted Published  selective genotyping  QTL detection  sib pair analysis  outbred populations"
"Differentiation of the Italian wolf and the domestic dog based on microsatellite analysis"	"Authors: Gaudenz Dolf  Jörg Schläpfer  Claude Gaillard  Ettore Randi  Vittorio Lucchini  Urs Breitenmoser and Nasikhat Stahlberger-Saitbekova"	"Institute of Animal Breeding  University of Berne  Bremgartenstrasse 109a  3012  Berne  SwitzerlandGaudenz Dolf  Jörg Schläpfer  Claude Gaillard & Nasikhat Stahlberger-Saitbekova Istituto Nazionale per la Fauna Selvatica  Via Cà Formacetta 9  40064  Ozzano dell'Emilia (BO)  ItalyEttore Randi & Vittorio Lucchini Institute of Veterinary Virology  Länggassstrasse 122  3012  Berne  SwitzerlandUrs Breitenmoser"	"No Co-Author"	"15 September 2000"	"The Italian wolf is in the process of regaining the Alpine region which comes into conflict with the extensive sheep keeping practiced in Switzerland during the summer. As in Switzerland  the wolf is a protected species  the government reimburses losses caused by wolves. Therefore we wanted to know whether the Italian wolf could be distinguished from the domestic dog by microsatellite analysis if DNA samples of the predators could be secured. The evaluation of combined genotypes for the microsatellites CanBern6  CPH4  CPH7  CPH9  CPH12  CPH22 and ZuBeCa1 made it possible to identify an individual as either a domestic dog or an Italian wolf. The assignment of an individual to either one of the two populations is based on the logarithm of the likelihood ratio of an individual being an Italian wolf rather than a domestic dog  given a specific combined genotype. The distribution of the Italian wolf combined genotypes ( = 42) is clearly distinct from the distribution of the domestic dog combined genotypes ( = 90). The likelihood ratio for the \"worst\" Italian wolf combined genotype was 2.3 E+5 and for the \"worst\" domestic dog combined genotype was 3.8 E-5."	"Italian wolf  domestic dog  microsatellite  genotype  likelihood ratio"	"                                                   Research                                            Open Access                                                              Published: 15 September 2000                         Differentiation of the Italian wolf and the domestic dog based on microsatellite analysis                         Gaudenz Dolf1  Jörg Schläpfer1  Claude Gaillard1  Ettore Randi2  Vittorio Lucchini2  Urs Breitenmoser3 & Nasikhat Stahlberger-Saitbekova1                                   Genetics Selection Evolution                              volume 32  Article number: 533 (2000)             Cite this article                                                                                                      2275 Accesses                                                                                                     15 Citations                                                                                             Metrics details                                                                                                                                     The Italian wolf is in the process of regaining the Alpine region which comes into conflict with the extensive sheep keeping practiced in Switzerland during the summer. As in Switzerland  the wolf is a protected species  the government reimburses losses caused by wolves. Therefore we wanted to know whether the Italian wolf could be distinguished from the domestic dog by microsatellite analysis if DNA samples of the predators could be secured. The evaluation of combined genotypes for the microsatellites CanBern6  CPH4  CPH7  CPH9  CPH12  CPH22 and ZuBeCa1 made it possible to identify an individual as either a domestic dog or an Italian wolf. The assignment of an individual to either one of the two populations is based on the logarithm of the likelihood ratio of an individual being an Italian wolf rather than a domestic dog  given a specific combined genotype. The distribution of the Italian wolf combined genotypes ( = 42) is clearly distinct from the distribution of the domestic dog combined genotypes ( = 90). The likelihood ratio for the \"worst\" Italian wolf combined genotype was 2.3 E+5 and for the \"worst\" domestic dog combined genotype was 3.8 E-5. Correspondence to                 .  Dolf  G.  Schläpfer  J.  Gaillard  C.  Differentiation of the Italian wolf and the domestic dog based on microsatellite analysis.                      533 (2000). https://doi.org/10.1186/1297-9686-32-5-533  Received Accepted Published  Italian wolf  domestic dog  microsatellite  genotype  likelihood ratio"
"Messenger RNA levels and transcription rates of hepatic lipogenesis genes in genetically lean and fat chickens"	"Authors: Stéphanie Daval  Sandrine Lagarrigue and Madeleine Douaire"	"Laboratoire de génétique animale  Institut national de la recherche agronomique  École nationale supérieure agronomique de Rennes  65 rue de Saint-Brieuc  35042  Rennes Cedex  FranceStéphanie Daval  Sandrine Lagarrigue & Madeleine Douaire"	"No Co-Author"	"15 September 2000"	"Levels of body fat content in commercial meat chickens have prompted research in order to control the development of this trait. Based on experimentally selected divergent lean and fat lines  many studies have shown that liver metabolism has a major role in the fatness variability. In order to identify which genes are involved in this variability  we investigated the expression of several genes implicated in the hepatic lipid metabolism. The studied genes code for enzymes of fatty acid synthesis [ATP citrate-lyase (ACL)  acetyl-CoA carboxylase (ACC)  fatty acid synthase (FAS)  malic enzyme (ME)  stearoyl-CoA desaturase (SCD1)]  for an apolipoprotein [apolipoprotein A1 (APOA1)]  and for the CCAAT/enhancer binding protein  (C/EBP)  which is a transcription factor implied in the regulation of several genes of lipid metabolism. The results show that the fat-line chickens display significantly higher hepatic transcription rates and mRNA levels than the lean-line chickens for the ACL  ME and APOA1 genes. This suggests that these genes could be responsible for the phenotypic fatness variability."	"chicken  fatness  mRNA  transcription  lipid metabolism"	"                                                   Research                                            Open Access                                                              Published: 15 September 2000                         Messenger RNA levels and transcription rates of hepatic lipogenesis genes in genetically lean and fat chickens                         Stéphanie Daval1  Sandrine Lagarrigue1 & Madeleine Douaire1                                   Genetics Selection Evolution                              volume 32  Article number: 521 (2000)             Cite this article                                                                                                      1932 Accesses                                                                                                     38 Citations                                                                                             Metrics details                                                                                                                                     Levels of body fat content in commercial meat chickens have prompted research in order to control the development of this trait. Based on experimentally selected divergent lean and fat lines  many studies have shown that liver metabolism has a major role in the fatness variability. In order to identify which genes are involved in this variability  we investigated the expression of several genes implicated in the hepatic lipid metabolism. The studied genes code for enzymes of fatty acid synthesis [ATP citrate-lyase (ACL)  acetyl-CoA carboxylase (ACC)  fatty acid synthase (FAS)  malic enzyme (ME)  stearoyl-CoA desaturase (SCD1)]  for an apolipoprotein [apolipoprotein A1 (APOA1)]  and for the CCAAT/enhancer binding protein  (C/EBP)  which is a transcription factor implied in the regulation of several genes of lipid metabolism. The results show that the fat-line chickens display significantly higher hepatic transcription rates and mRNA levels than the lean-line chickens for the ACL  ME and APOA1 genes. This suggests that these genes could be responsible for the phenotypic fatness variability. Correspondence to                 .  Daval  S.  Lagarrigue  S. & Douaire  M. Messenger RNA levels and transcription rates of hepatic lipogenesis genes in genetically lean and fat chickens.                      521 (2000). https://doi.org/10.1186/1297-9686-32-5-521  Received Accepted Published  chicken  fatness  mRNA  transcription  lipid metabolism"
"A first genotyping assay of French cattle breeds based on a new allele of the extension gene encoding the melanocortin-1 receptor (Mc1r)"	"Authors: François Rouzaud  Juliette Martin  Paul François Gallet  Didier Delourme  Valérie Goulemot-Leger  Yves Amigues  François Ménissier  Hubert Levéziel  Raymond Julien and Ahmad Oulmouden"	"Unité de génétique moléculaire animale  UMR 1061 (Université/INRA)  Université de Limoges  87060  Limoges Cedex  FranceFrançois Rouzaud  Juliette Martin  Paul François Gallet  Didier Delourme  Hubert Levéziel  Raymond Julien & Ahmad Oulmouden Unité de génétique biochimique et cytogénétique  UR339  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceHubert Levéziel Laboratoire d'analyses génétiques pour les espèces animales (LABOGENA)  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceValérie Goulemot-Leger & Yves Amigues Station de génétique quantitative et appliquée  UR337  Institut national de la recherche agronomique  78352  Jouy-en-Josas Cedex  FranceFrançois Ménissier"	"No Co-Author"	"15 September 2000"	"The seven transmembrane domain melanocortin-1 receptor (Mc1r) encoded by the coat color  gene () plays a key role in the signaling pathway of melanin synthesis. Upon the binding of agonist (melanocortin hormone  -MSH) or antagonist (Agouti protein) ligands  the melanosomal synthesis of eumelanin and/or phaeomelanin pigments is stimulated or inhibited  respectively. Different alleles of the  gene were cloned from unrelated animals belonging to French cattle breeds and sequenced. The wild type  allele was mainly present in Normande cattle  the dominant  allele in animals with black color (. Holstein)  whereas the recessive  allele was identified in homozygous animals exhibiting a more or less strong red coat color (Blonde d'Aquitaine  Charolaise  Limousine and Salers). A new allele  named   was found in either homozygous (/) or heterozygous (/) individuals in Aubrac and Gasconne breeds. This allele displayed a 4 amino acid duplication (12 nucleotides) located within the third cytoplasmic loop of the receptor  a region known to interact with G proteins. A first genotyping assay of the main French cattle breeds is described based on these four  alleles."	"cattle  genotyping  coat color  extension  polymorphism"	"                                                   Research                                            Open Access                                                              Published: 15 September 2000                         A first genotyping assay of French cattle breeds based on a new allele of the extension gene encoding the melanocortin-1 receptor (Mc1r)                         François Rouzaud1  Juliette Martin1  Paul François Gallet1  Didier Delourme1  Valérie Goulemot-Leger3  Yves Amigues3  François Ménissier4  Hubert Levéziel1 2  Raymond Julien1 & Ahmad Oulmouden1                                   Genetics Selection Evolution                              volume 32  Article number: 511 (2000)             Cite this article                                                                                                      2712 Accesses                                                                                                     57 Citations                                                                                             Metrics details                                                                                                                                     The seven transmembrane domain melanocortin-1 receptor (Mc1r) encoded by the coat color  gene () plays a key role in the signaling pathway of melanin synthesis. Upon the binding of agonist (melanocortin hormone  -MSH) or antagonist (Agouti protein) ligands  the melanosomal synthesis of eumelanin and/or phaeomelanin pigments is stimulated or inhibited  respectively. Different alleles of the  gene were cloned from unrelated animals belonging to French cattle breeds and sequenced. The wild type  allele was mainly present in Normande cattle  the dominant  allele in animals with black color (. Holstein)  whereas the recessive  allele was identified in homozygous animals exhibiting a more or less strong red coat color (Blonde d'Aquitaine  Charolaise  Limousine and Salers). A new allele  named   was found in either homozygous (/) or heterozygous (/) individuals in Aubrac and Gasconne breeds. This allele displayed a 4 amino acid duplication (12 nucleotides) located within the third cytoplasmic loop of the receptor  a region known to interact with G proteins. A first genotyping assay of the main French cattle breeds is described based on these four  alleles. Correspondence to                 .  Rouzaud  F.  Martin  J.  Gallet  P.F.  A first genotyping assay of French cattle breeds based on a new allele of the  gene encoding the melanocortin-1 receptor (Mc1r).                      511 (2000). https://doi.org/10.1186/1297-9686-32-5-511  Received Accepted Published  cattle  genotyping  coat color  extension  polymorphism"
